@RELATION tsla_45

@ATTRIBUTE sma_9 REAL
@ATTRIBUTE sma_22 REAL
@ATTRIBUTE sma_55 REAL
@ATTRIBUTE sma_200 REAL
@ATTRIBUTE MACD_12_26_9 REAL
@ATTRIBUTE MACD_20_80_2 REAL
@ATTRIBUTE MACD_40_80_2 REAL
@ATTRIBUTE MACD_1_68_2 REAL
@ATTRIBUTE MACD_21_81_2 REAL
@ATTRIBUTE rsi_7 REAL
@ATTRIBUTE rsi_14 REAL
@ATTRIBUTE rsi_21 REAL
@ATTRIBUTE rsi_44 REAL
@ATTRIBUTE cci_44 REAL
@ATTRIBUTE adx_44 REAL
@ATTRIBUTE wma_22 REAL
@ATTRIBUTE wma_220 REAL
@ATTRIBUTE vwap REAL
@ATTRIBUTE ema_9 REAL
@ATTRIBUTE ema_22 REAL
@ATTRIBUTE ema_55 REAL
@ATTRIBUTE ema_200 REAL
@ATTRIBUTE trix_10 REAL
@ATTRIBUTE trix_40 REAL
@ATTRIBUTE class {1,0}

@DATA
769.972,765.732473,745.198635,747.98388,4.909719,13.60423,6.044368,9.822061,13.258021,42.471515,50.793259,52.875336,52.627806,31.411641,9.853545,767.701291,748.00923,745.696453,766.208979,763.065973,753.004387,749.524206,0.102164,0.024687,1
767.732489,765.800559,745.430029,748.075207,3.64814,12.642368,5.863494,3.608737,12.37183,35.328456,46.268852,49.763173,51.180182,13.760913,9.679249,766.770155,748.07655,745.794354,763.972063,762.366706,753.07653,749.578934,0.071986,0.027072,1
764.898856,765.864655,745.755311,748.182307,2.730277,11.86303,5.722489,4.868994,11.651917,38.068898,47.424005,50.466321,51.494324,35.778271,9.670027,765.955323,748.1563,745.923698,762.463651,761.850471,753.196297,749.647104,0.043267,0.029165,1
763.541722,766.490136,746.067231,748.348342,3.124816,12.159816,5.930474,18.662504,11.942164,58.558803,57.434265,56.916182,54.548186,76.792853,9.714131,766.382797,748.365577,746.066429,764.127041,762.627004,753.824308,749.857388,0.028875,0.031214,1
763.702522,767.109223,746.741776,748.555506,3.693427,12.654094,6.205402,21.713733,12.419189,62.239438,59.560857,58.37977,55.290315,86.33706,9.803791,767.077568,748.607371,746.378999,766.197632,763.657699,754.562011,750.102389,0.026304,0.033265,1
763.824444,767.206745,747.331664,748.693521,3.465273,12.501979,6.262273,13.396828,12.288105,51.132197,53.439104,54.248132,53.382584,38.484061,9.724666,767.03007,748.776348,746.581524,766.270706,763.910334,754.990618,750.266176,0.024044,0.035175,1
763.317811,766.939291,747.926051,748.766279,2.472228,11.653152,6.073521,3.577342,11.49852,40.898751,47.078736,49.72521,51.167446,36.921176,9.70787,766.129509,748.856443,746.847244,764.386625,763.296418,755.057035,750.33169,0.014373,0.036794,1
763.148744,767.005359,748.646627,748.877796,2.300471,11.437797,6.08268,11.196323,11.301764,50.221846,52.082349,53.080954,52.807419,92.353613,9.884293,765.943789,749.007962,747.260412,764.47,763.427469,755.405123,750.475688,0.007653,0.038272,1
766.697778,768.559323,749.977322,749.118642,4.486159,13.295978,6.792426,39.433892,13.058831,70.13501,65.142223,62.721875,58.126634,198.246579,10.112186,768.310123,749.424703,747.564438,770.41964,766.104923,756.791304,750.910937,0.026196,0.040073,1
770.59,769.985882,751.354685,749.371869,6.30237,15.041399,7.489475,40.176397,14.717417,71.009958,65.801479,63.244198,58.442876,205.533493,10.364101,770.710181,749.856898,747.980208,775.567712,768.718408,758.197329,751.361176,0.058311,0.042164,1
